UID	Product_ID	Review_ID	Review_Text	Processed_Text	TextBlob	Vader	API	Matched_token	Theme
151	40166686	103	 Lovely heavy bottom SS kadai..dishwasher safe..trick to use an SS kadai is to put it on medium to low flame and add oil just after turning the gas on. Very satisfied with the product..one negative is that it has a ridge just above the bottom of the pan so the masala tends to gather at that ridge. Been using the product everday for almost 2 weeks now.	lovely heavy bottom ss kadai dishwasher safe trick use ss kadai put medium low flame add oil just turn gas very satisfy product one negative have ridge just above bottom pan masala tend gather ridge use product everday almost weeks now	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
152	40166686	104	 Not good	not good	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
153	40166686	105	so I m not satisfied it's lickage from handle	m not satisfy lickage handle	NEUTRAL	NEGATIVE	NEGATIVE	No match	No match
154	40166686	106	 Very Good Product	very good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
155	40166686	107	damaged please change its all damaged product	damage please change damage product	NEUTRAL	NEGATIVE	NEGATIVE	No match	No match
156	40166686	108	 Sturdy and nice looking	sturdy nice look	POSITIVE	POSITIVE	POSITIVE	sturdy	quality
157	40166685	109	it's of proper size for me and is not too heavy. but still food doesn't stick to the bottom. 	proper size not too heavy but still food do not stick bottom	NEGATIVE	NEUTRAL	NEGATIVE	do	operational_effectiveness
158	40166685	110	 good and sturdy kadai	good sturdy kadai	POSITIVE	POSITIVE	POSITIVE	sturdy	quality
159	40166685	111	awesome 	awesome	POSITIVE	POSITIVE	POSITIVE	No match	No match
160	40166685	112	 I like this product.	like product	NEUTRAL	POSITIVE	NEGATIVE	No match	No match
161	40166685	113	 nice and perfect	nice perfect	POSITIVE	POSITIVE	POSITIVE	perfect	quality
162	40129855	114	poor thing Really bad quality	poor thing really bad quality	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
163	40129855	114	poor thing Really bad quality	poor thing really bad quality	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
164	40114262	115	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	POSITIVE	POSITIVE	NEUTRAL	do	operational_effectiveness
165	40114262	115	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	POSITIVE	POSITIVE	NEUTRAL	toast	operational_effectiveness
166	40114262	116	 It does it work seamlessly	do work seamlessly	POSITIVE	NEUTRAL	NEUTRAL	do	operational_effectiveness
167	40114262	116	 It does it work seamlessly	do work seamlessly	POSITIVE	NEUTRAL	NEUTRAL	work	operational_effectiveness
168	40114262	117	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
169	40114262	117	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
170	40114262	117	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	toast	operational_effectiveness
171	40114262	118	 Average Product	average product	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
172	40114262	119	Good product Good. Serves the purpose.	good product good serve purpose	POSITIVE	POSITIVE	POSITIVE	No match	No match
173	40114262	120	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
174	40114262	121	not yet tried not yet tried	not yet try not yet try	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
175	40023184	122	It is not induction comfortable. This Kadhai is not induction comfortable but they mentioned like it is induction comfortable. Very bad big basket. I have ordered this only for induction but it is not working for induction...	not induction comfortable kadhai not induction comfortable but mention like induction comfortable very bad big basket have order only induction but not work induction	NEUTRAL	NEGATIVE	NEGATIVE	bad	quality
176	40023184	122	It is not induction comfortable. This Kadhai is not induction comfortable but they mentioned like it is induction comfortable. Very bad big basket. I have ordered this only for induction but it is not working for induction...	not induction comfortable kadhai not induction comfortable but mention like induction comfortable very bad big basket have order only induction but not work induction	NEUTRAL	NEGATIVE	NEGATIVE	induction	operational_effectiveness
177	40023184	122	It is not induction comfortable. This Kadhai is not induction comfortable but they mentioned like it is induction comfortable. Very bad big basket. I have ordered this only for induction but it is not working for induction...	not induction comfortable kadhai not induction comfortable but mention like induction comfortable very bad big basket have order only induction but not work induction	NEUTRAL	NEGATIVE	NEGATIVE	work	operational_effectiveness
178	40023184	123	small in size. very small. no use	small size very small no use	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
179	40023184	124	 Too small, not even 0.5L.	too small not even 0 l	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
180	40023184	125	very small size not useful to cook any thing don't buy it is very small you can't cook anything	very small size not useful cook thing do not buy very small can not cook anything	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
181	40023184	125	very small size not useful to cook any thing don't buy it is very small you can't cook anything	very small size not useful cook thing do not buy very small can not cook anything	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
182	40023184	125	very small size not useful to cook any thing don't buy it is very small you can't cook anything	very small size not useful cook thing do not buy very small can not cook anything	NEGATIVE	NEGATIVE	NEGATIVE	useful	operational_effectiveness
183	40023184	126	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
184	40023184	127	 it is very cheap n light n waste of money. terrible. bad product.	very cheap n light n waste money terrible bad product	NEGATIVE	NEGATIVE	NEGATIVE	cheap	price
185	40023184	127	 it is very cheap n light n waste of money. terrible. bad product.	very cheap n light n waste money terrible bad product	NEGATIVE	NEGATIVE	NEGATIVE	money	price
186	40023184	127	 it is very cheap n light n waste of money. terrible. bad product.	very cheap n light n waste money terrible bad product	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
187	40023184	128	product good but size small 2.2mm product is good 5 ? product but size small	product good but size small mm product good product but size small	POSITIVE	POSITIVE	POSITIVE	No match	No match
188	40023184	129	 Worst product i could ever have	worst product could ever have	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
189	40023184	130	 not good	not good	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
190	40023184	131	kindly restock.... Cute little kadhai. V useful to reheat or serve	kindly restock cute little kadhai v useful reheat serve	POSITIVE	POSITIVE	POSITIVE	useful	operational_effectiveness
191	40023184	132	 it's very cute.just for one person.build is good.	very cute just one person build good	POSITIVE	POSITIVE	POSITIVE	No match	No match
192	40023184	133	 nott induction compatible	nott induction compatible	NEUTRAL	NEUTRAL	NEGATIVE	compatible	operational_effectiveness
193	40023184	133	 nott induction compatible	nott induction compatible	NEUTRAL	NEUTRAL	NEGATIVE	induction	operational_effectiveness
194	40023184	134	 this is very useful product	very useful product	POSITIVE	POSITIVE	NEUTRAL	useful	operational_effectiveness
195	40023184	135	 too small	too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
196	40023184	136	 too small	too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
197	40023184	137	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
198	40023184	138	 so small ???	small	NEGATIVE	NEUTRAL	NEUTRAL	No match	No match
199	40023184	139	 Its very small	very small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
200	40023184	140	good quality for small size kadai It was 6 inches only but it was super quality may be use as tadka pan very good finishing but small in size	good quality small size kadai inch only but super quality may use tadka pan very good finish but small size	POSITIVE	POSITIVE	POSITIVE	quality	quality
201	40023184	140	good quality for small size kadai It was 6 inches only but it was super quality may be use as tadka pan very good finishing but small in size	good quality small size kadai inch only but super quality may use tadka pan very good finish but small size	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
202	40023184	141	 too small	too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
203	40023184	142	 Good item best prise	good item best prise	POSITIVE	POSITIVE	POSITIVE	No match	No match
204	40023184	143	 useful for thadka and frying papad and smaal quantites of any item	useful thadka fry papad smaal quantites item	POSITIVE	POSITIVE	NEUTRAL	fry	operational_effectiveness
205	40023184	143	 useful for thadka and frying papad and smaal quantites of any item	useful thadka fry papad smaal quantites item	POSITIVE	POSITIVE	NEUTRAL	useful	operational_effectiveness
206	40023184	144	 Full cheating and size is very small don't buy in big basket this kind of product	full cheat size very small do not buy big basket kind product	POSITIVE	POSITIVE	NEGATIVE	kind	quality
207	40023184	144	 Full cheating and size is very small don't buy in big basket this kind of product	full cheat size very small do not buy big basket kind product	POSITIVE	POSITIVE	NEGATIVE	do	operational_effectiveness
208	40023184	145	 As it is written that it will hold 1 L but it is too small it will hold max 500 ml.	write hold l but too small hold max 00 ml	NEGATIVE	NEUTRAL	HTTPConnectionPool(host='text-processing.com', port=80): Read timed out. (read timeout=2)	No match	No match
209	40023184	146	Very small not worthy	very small not worthy	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
210	40023184	147	 Bad	bad	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
211	40023184	148	 ineed to return the product	ineed return product	NEUTRAL	NEUTRAL	NEUTRAL	return	shipping_delivery
212	40023184	149	 small in size	small size	NEGATIVE	NEUTRAL	POSITIVE	No match	No match
213	40023184	150	 kadhai is that heavy it didn't reach my expectations BB u disappointed me ?	kadhai heavy do not reach expectations bb disappoint	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
214	40023184	151	love the ksdai toooooo cute?? going to buy one more can be used for serving..	love ksdai toooooo cute go buy one more can use serve	POSITIVE	POSITIVE	POSITIVE	can	shipping_delivery
215	40023184	151	love the ksdai toooooo cute?? going to buy one more can be used for serving..	love ksdai toooooo cute go buy one more can use serve	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
216	40023184	152	 not 1ltr, too small.	not ltr too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
217	40023184	153	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
218	40023184	154	disappointing very small . want to return the product . not as per picture displayed	disappoint very small want return product not per picture display	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
219	40023184	154	disappointing very small . want to return the product . not as per picture displayed	disappoint very small want return product not per picture display	NEGATIVE	NEGATIVE	NEGATIVE	want	quality
220	40023184	155	 Not induction comfortable.too bad.	not induction comfortable too bad	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
221	40023184	155	 Not induction comfortable.too bad.	not induction comfortable too bad	NEGATIVE	NEGATIVE	NEGATIVE	induction	operational_effectiveness
222	40023184	156	 Found it too small a size	find too small size	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
223	40023184	157	 item is very small, not useful.	item very small not useful	NEGATIVE	NEGATIVE	NEGATIVE	useful	operational_effectiveness
224	40023184	158	not up to the mark too small	not up mark too small	NEGATIVE	NEUTRAL	NEGATIVE	mark	quality
225	40023184	159	 very small. 1L is wrong. But still it is good in quality.	very small l wrong but still good quality	NEUTRAL	POSITIVE	POSITIVE	quality	quality
226	40023184	160	it's not induction comparable 	not induction comparable	NEUTRAL	NEUTRAL	NEGATIVE	induction	operational_effectiveness
227	40023184	161	 product is very light weight and very small	product very light weight very small	POSITIVE	NEUTRAL	NEGATIVE	No match	No match
228	40023184	162	 bakwas	bakwas	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
229	40023184	163	Not good quality Very thin material and not viable for daily use.	not good quality very thin material not viable daily use	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
230	40023184	163	Not good quality Very thin material and not viable for daily use.	not good quality very thin material not viable daily use	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
231	40023184	163	Not good quality Very thin material and not viable for daily use.	not good quality very thin material not viable daily use	NEGATIVE	NEGATIVE	NEGATIVE	viable	operational_effectiveness
232	40023184	164	 thanks for nice product BB	thank nice product bb	POSITIVE	POSITIVE	POSITIVE	No match	No match
233	40023184	165	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
234	40023184	166	Not good very thin nd small	not good very thin nd small	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
235	40023184	167	Not worthy This is not 1 ltr kadhai it's 700 ml only	not worthy not ltr kadhai 00 ml only	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
236	40023184	168	deceptive size waste of money. i cannot use this item for anything	deceptive size waste money can not use item anything	NEGATIVE	NEGATIVE	NEUTRAL	money	price
237	40023184	168	deceptive size waste of money. i cannot use this item for anything	deceptive size waste money can not use item anything	NEGATIVE	NEGATIVE	NEUTRAL	can	shipping_delivery
238	40023184	168	deceptive size waste of money. i cannot use this item for anything	deceptive size waste money can not use item anything	NEGATIVE	NEGATIVE	NEUTRAL	use	operational_effectiveness
239	40023184	169	 bhut chhhota h	bhut chhhota h	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
240	40023184	170	 small size	small size	NEGATIVE	NEUTRAL	POSITIVE	No match	No match
241	40023184	171	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
242	40023184	172	 its too small	too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
243	40023184	173	 super	super	POSITIVE	POSITIVE	POSITIVE	No match	No match
244	40023184	174	very small waste of Mobey I like tha quality	very small waste mobey like tha quality	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
245	40023184	175	 nice quality	nice quality	POSITIVE	POSITIVE	POSITIVE	quality	quality
246	40023184	176	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
247	40023184	177	 useful for single person	useful single person	POSITIVE	POSITIVE	NEUTRAL	single	price
248	40023184	177	 useful for single person	useful single person	POSITIVE	POSITIVE	NEUTRAL	useful	operational_effectiveness
249	40023184	178	 amazing ?	amaze	NEUTRAL	POSITIVE	NEUTRAL	No match	No match
250	40023184	179	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
251	40023184	180	Size Compromised Smaller than expected ....Doesn't not looks like 1L container....different from what I ordered	size compromise smaller than expect do not not look like l container different order	NEUTRAL	POSITIVE	POSITIVE	container	shipping_delivery
252	40023184	180	Size Compromised Smaller than expected ....Doesn't not looks like 1L container....different from what I ordered	size compromise smaller than expect do not not look like l container different order	NEUTRAL	POSITIVE	POSITIVE	do	operational_effectiveness
253	40023184	181	 it's not at all induction suppoted	not induction suppoted	NEUTRAL	NEUTRAL	NEUTRAL	induction	operational_effectiveness
254	40023184	182	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
255	40023184	183	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
256	40023184	184	 very nice	very nice	POSITIVE	POSITIVE	POSITIVE	No match	No match
257	40023184	185	nice product exactly one litre it can hold. but thick and sturdy enough to cook. I loved this one. it looks cute, so can be used for serving too.	nice product exactly one litre can hold but thick sturdy enough cook love one look cute can use serve too	POSITIVE	POSITIVE	NEGATIVE	can	shipping_delivery
258	40023184	185	nice product exactly one litre it can hold. but thick and sturdy enough to cook. I loved this one. it looks cute, so can be used for serving too.	nice product exactly one litre can hold but thick sturdy enough cook love one look cute can use serve too	POSITIVE	POSITIVE	NEGATIVE	sturdy	quality
259	40023184	185	nice product exactly one litre it can hold. but thick and sturdy enough to cook. I loved this one. it looks cute, so can be used for serving too.	nice product exactly one litre can hold but thick sturdy enough cook love one look cute can use serve too	POSITIVE	POSITIVE	NEGATIVE	use	operational_effectiveness
260	40023184	186	 worth it....	worth	POSITIVE	POSITIVE	POSITIVE	worth	quality
261	40023184	187	heavy base and nice product Heavy base and nice product	heavy base nice product heavy base nice product	NEGATIVE	POSITIVE	NEGATIVE	No match	No match
262	40023184	188	 no induction base.	no induction base	NEGATIVE	NEGATIVE	NEGATIVE	induction	operational_effectiveness
263	40023184	189	 this kadhai is too small to use..	kadhai too small use	NEGATIVE	NEUTRAL	NEGATIVE	use	operational_effectiveness
264	40023184	190	quality is nice.....worth for money good Quality	quality nice worth money good quality	POSITIVE	POSITIVE	POSITIVE	money	price
265	40023184	190	quality is nice.....worth for money good Quality	quality nice worth money good quality	POSITIVE	POSITIVE	POSITIVE	quality	quality
266	40023184	190	quality is nice.....worth for money good Quality	quality nice worth money good quality	POSITIVE	POSITIVE	POSITIVE	worth	quality
267	40023184	191	am not expecting this weight is very poor very bad quality not worthy	not expect weight very poor very bad quality not worthy	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
268	40023184	191	am not expecting this weight is very poor very bad quality not worthy	not expect weight very poor very bad quality not worthy	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
269	40023184	192	product is awesome. But not working on induction. 	product awesome but not work induction	POSITIVE	POSITIVE	NEGATIVE	induction	operational_effectiveness
270	40023184	192	product is awesome. But not working on induction. 	product awesome but not work induction	POSITIVE	POSITIVE	NEGATIVE	work	operational_effectiveness
271	40023184	193	Excellent Excellent	excellent excellent	POSITIVE	POSITIVE	POSITIVE	No match	No match
272	40023184	194	this product is very small 	product very small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
273	40178172	195	waste of money Its just been 4 months and the non-stick film has come out...and the worst part is this film comes out during preparing food in tiny tiny pieces..So unhealthy..A total waste of money	waste money just months non stick film have come worst part film come prepare food tiny tiny piece unhealthy total waste money	NEGATIVE	NEGATIVE	NEGATIVE	money	price
274	40178172	195	waste of money Its just been 4 months and the non-stick film has come out...and the worst part is this film comes out during preparing food in tiny tiny pieces..So unhealthy..A total waste of money	waste money just months non stick film have come worst part film come prepare food tiny tiny piece unhealthy total waste money	NEGATIVE	NEGATIVE	NEGATIVE	total	size
275	40178172	195	waste of money Its just been 4 months and the non-stick film has come out...and the worst part is this film comes out during preparing food in tiny tiny pieces..So unhealthy..A total waste of money	waste money just months non stick film have come worst part film come prepare food tiny tiny piece unhealthy total waste money	NEGATIVE	NEGATIVE	NEGATIVE	prepare	operational_effectiveness
276	40178172	196	Thin base The base is very thin. It is not a good kadhai.	thin base base very thin not good kadhai	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
277	40178172	197	 broken, very bad	break very bad	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
278	40178172	197	 broken, very bad	break very bad	NEGATIVE	NEGATIVE	NEGATIVE	break	quality
279	40178172	198	 its in good condition and quality is good too, I am using it from a week Geetha	good condition quality good too use week geetha	POSITIVE	POSITIVE	POSITIVE	condition	quality
280	40178172	198	 its in good condition and quality is good too, I am using it from a week Geetha	good condition quality good too use week geetha	POSITIVE	POSITIVE	POSITIVE	quality	quality
281	40178172	198	 its in good condition and quality is good too, I am using it from a week Geetha	good condition quality good too use week geetha	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
282	40178172	199	second buy my second buy, love the product	second buy second buy love product	POSITIVE	POSITIVE	NEUTRAL	second	quality
283	40178172	200	excellent excellent	excellent excellent	POSITIVE	POSITIVE	POSITIVE	No match	No match
284	40178172	201	waste of money not working on induction	waste money not work induction	NEGATIVE	NEGATIVE	NEUTRAL	money	price
285	40178172	201	waste of money not working on induction	waste money not work induction	NEGATIVE	NEGATIVE	NEUTRAL	induction	operational_effectiveness
286	40178172	201	waste of money not working on induction	waste money not work induction	NEGATIVE	NEGATIVE	NEUTRAL	work	operational_effectiveness
287	40178172	202	 very bad quality product.the nonstick coating is so thin and it gone out	very bad quality product nonstick coat thin go	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
288	40178172	202	 very bad quality product.the nonstick coating is so thin and it gone out	very bad quality product nonstick coat thin go	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
289	40178172	203	waste of money Third class quality. So cheAp. Color n coating both gone.	waste money third class quality cheap color n coat go	POSITIVE	NEGATIVE	NEGATIVE	cheap	price
290	40178172	203	waste of money Third class quality. So cheAp. Color n coating both gone.	waste money third class quality cheap color n coat go	POSITIVE	NEGATIVE	NEGATIVE	money	price
291	40178172	203	waste of money Third class quality. So cheAp. Color n coating both gone.	waste money third class quality cheap color n coat go	POSITIVE	NEGATIVE	NEGATIVE	quality	quality
292	40178172	204	 wow exllent good quality	wow exllent good quality	POSITIVE	POSITIVE	POSITIVE	quality	quality
293	40178172	205	 Handles of Kadhai were stained with dust looking like it is stored since many days and seems like wasn't getting sold. It seems that it's not a fresh product	handle kadhai stain dust look like store since many days seem like not get sell seem not fresh product	POSITIVE	POSITIVE	NEGATIVE	stain	quality
294	40178172	205	 Handles of Kadhai were stained with dust looking like it is stored since many days and seems like wasn't getting sold. It seems that it's not a fresh product	handle kadhai stain dust look like store since many days seem like not get sell seem not fresh product	POSITIVE	POSITIVE	NEGATIVE	dust	maintenance
295	40178172	206	looks like an old one looks.like used.one. non stick thing started peeling off	look like old one look like use one non stick thing start peel	POSITIVE	POSITIVE	NEGATIVE	use	operational_effectiveness
296	40178172	207	 Just okay	just okay	POSITIVE	POSITIVE	POSITIVE	No match	No match
297	40178172	208	 Bad quality	bad quality	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
298	40178172	208	 Bad quality	bad quality	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
299	40178172	209	not a quality product average life is about 3 to 4 months if used daily and following all instructions regarding care.	not quality product average life months use daily follow instructions regard care	NEGATIVE	POSITIVE	NEUTRAL	quality	quality
300	40178172	209	not a quality product average life is about 3 to 4 months if used daily and following all instructions regarding care.	not quality product average life months use daily follow instructions regard care	NEGATIVE	POSITIVE	NEUTRAL	use	operational_effectiveness
301	40178172	209	not a quality product average life is about 3 to 4 months if used daily and following all instructions regarding care.	not quality product average life months use daily follow instructions regard care	NEGATIVE	POSITIVE	NEUTRAL	care	maintenance
302	40178172	210	good good	good good	POSITIVE	POSITIVE	POSITIVE	No match	No match
303	40178172	211	worth its beautiful..very thick	worth beautiful very thick	POSITIVE	POSITIVE	POSITIVE	worth	quality
304	40178172	212	 it's ok	ok	POSITIVE	POSITIVE	POSITIVE	No match	No match
305	40178172	213	 I love this product...haven't yet noticed any peeling of the coating..thanks	love product have not yet notice peel coat thank	POSITIVE	POSITIVE	NEGATIVE	No match	No match
306	40178172	214	 has a defect.. I realised after I took it for washing	have defect realise take wash	NEUTRAL	NEGATIVE	NEUTRAL	wash	maintenance
307	40178172	215	 the non stick comes off very soon	non stick come very soon	POSITIVE	NEUTRAL	NEUTRAL	No match	No match
308	40178172	216	good for its price good for its price	good price good price	POSITIVE	POSITIVE	POSITIVE	price	price
309	40178172	217	neat and very economical good stuff	neat very economical good stuff	POSITIVE	POSITIVE	POSITIVE	economical	price
310	40114261	218	size is smaller than pic and got plastic stick instead of wooden stick average	size smaller than pic get plastic stick instead wooden stick average	NEUTRAL	NEUTRAL	NEGATIVE	No match	No match
311	40114261	219	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
312	40114261	219	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
313	40114261	219	bad quality don't buy the handle is very weak it will come out immediately u hold it	bad quality do not buy handle very weak come immediately hold	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
314	40114261	220	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	NEGATIVE	NEGATIVE	NEGATIVE	heat	operational_effectiveness
315	40114261	220	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
316	40114261	221	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	NEGATIVE	NEGATIVE	NEUTRAL	money	price
317	40114261	221	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	NEGATIVE	NEGATIVE	NEUTRAL	diameter	size
318	40114261	222	not so good there was dent on the product when i got this.	not good dent product get	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
319	40114261	223	defect in steel lid Dent in steel lid	defect steel lid dent steel lid	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
320	40114261	224	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	POSITIVE	POSITIVE	POSITIVE	bigger	operational_effectiveness
321	40114261	224	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	POSITIVE	POSITIVE	POSITIVE	consume	operational_effectiveness
322	40114261	225	 User friendly	user friendly	POSITIVE	POSITIVE	POSITIVE	No match	No match
323	40114261	226	 Good Product	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
324	40114261	227	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	batch	shipping_delivery
325	40114261	227	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	delivery	shipping_delivery
326	40114261	227	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	bad	quality
327	40114261	227	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	POSITIVE	POSITIVE	NEGATIVE	make	quality
328	40114261	228	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
329	40114261	229	 i want one more product	want one more product	POSITIVE	POSITIVE	NEGATIVE	want	quality
330	40114261	230	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	POSITIVE	POSITIVE	POSITIVE	deliver	shipping_delivery
331	40114261	231	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
332	40114261	232	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	POSITIVE	POSITIVE	POSITIVE	No match	No match
333	40114261	233	 best products	best products	POSITIVE	POSITIVE	POSITIVE	No match	No match
334	40114261	234	Must go for it. Good Product.	must go good product	POSITIVE	POSITIVE	NEUTRAL	No match	No match
335	40114261	235	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
336	40114261	236	 good, nice product	good nice product	POSITIVE	POSITIVE	POSITIVE	No match	No match
337	40114261	237	nice product At this cost its a very nice product...that too with lid... which is also an important part	nice product cost very nice product too lid also important part	POSITIVE	POSITIVE	POSITIVE	cost	price
338	40114261	238	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	last	quality
339	40114261	238	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	heat	operational_effectiveness
340	40114261	238	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	use	operational_effectiveness
341	40114261	239	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
342	40114261	240	yes nice	yes nice	POSITIVE	POSITIVE	POSITIVE	No match	No match
